test_0: self.assertEqual(True, is_palindrome(''))
test_1: self.assertEqual(True, is_palindrome('aba'))
test_2: self.assertEqual(True, is_palindrome('aaaaa'))
test_3: self.assertEqual(False, is_palindrome('zbcd'))
test_4: self.assertEqual(True, is_palindrome('xywyx'))
test_5: self.assertEqual(False, is_palindrome('xywyz'))
test_6: self.assertEqual(False, is_palindrome('xywzx'))
test_7: self.assertEqual(True, is_palindrome('racecar'))
test_8: self.assertEqual(False, is_palindrome('ab'))
test_9: self.assertEqual(False, is_palindrome('12zZ21'))
test_10: self.assertEqual(True, is_palindrome('step on no pets'))
test_11: self.assertEqual(True, is_palindrome('SS'))
test_12: self.assertEqual(False, is_palindrome('never odd or even'))
test_13: self.assertEqual(True, is_palindrome(''))
test_14: self.assertEqual(True, is_palindrome(' '))
test_15: self.assertEqual(False, is_palindrome('Step on no pets'))
test_16: self.assertEqual(True, is_palindrome('S'))
