test_0: self.assertEqual(False, cycpattern_check('xyzw', 'xyw'))
test_1: self.assertEqual(True, cycpattern_check('yello', 'ell'))
test_2: self.assertEqual(False, cycpattern_check('whattup', 'ptut'))
test_3: self.assertEqual(True, cycpattern_check('efef', 'fee'))
test_4: self.assertEqual(False, cycpattern_check('abab', 'aabb'))
test_5: self.assertEqual(True, cycpattern_check('winemtt', 'tinem'))
test_6: self.assertEqual(False, cycpattern_check('hello', 'olelh'))
test_7: self.assertEqual(True, cycpattern_check('coffee', 'ffeco'))
test_8: self.assertEqual(True, cycpattern_check('mississipi', 'mississipi'))
test_9: self.assertEqual(True, cycpattern_check('racanagramecar', ''))
test_10: self.assertEqual(True, cycpattern_check('abcdefg', 'cde'))
test_11: self.assertEqual(True, cycpattern_check('programming', 'ammiprogr'))
test_12: self.assertEqual(False, cycpattern_check('manipation', 'ationmani'))
test_13: self.assertEqual(True, cycpattern_check('', ''))
test_14: self.assertEqual(False, cycpattern_check('mississispi', 'mississispii'))
test_15: self.assertEqual(False, cycpattern_check('anagram', 'margana'))
