test_0: self.assertEqual(3, modp(3, 5))
test_1: self.assertEqual(2, modp(1101, 101))
test_2: self.assertEqual(1, modp(0, 101))
test_3: self.assertEqual(8, modp(3, 11))
test_4: self.assertEqual(1, modp(100, 101))
test_5: self.assertEqual(4, modp(30, 5))
test_6: self.assertEqual(3, modp(31, 5))
test_7: self.assertEqual(15, modp(5, 17))
test_8: self.assertEqual(2, modp(7, 3))
test_9: self.assertEqual(437504, modp(1000002, 1000000))
test_10: self.assertEqual(0, modp(0, 1))
test_11: self.assertEqual(2, modp(37, 37))
test_12: self.assertEqual(0, modp(1, 1))
test_13: self.assertEqual(1, modp(0, 2))
test_14: self.assertEqual(262144, modp(1000000, 999983))
test_15: self.assertEqual(64, modp(6, 78))
test_16: self.assertEqual(0, modp(19, 2))
test_17: self.assertEqual(2, modp(999983, 999983))
test_18: self.assertEqual(54811, modp(999999, 100019))
