test_0: self.assertEqual("lm", encrypt('hi'))
test_1: self.assertEqual("ewhjklnop", encrypt('asdfghjkl'))
test_2: self.assertEqual("kj", encrypt('gf'))
test_3: self.assertEqual("ix", encrypt('et'))
test_4: self.assertEqual("jeiajeaijeiak", encrypt('faewfawefaewg'))
test_5: self.assertEqual("lippsqcjvmirh", encrypt('hellomyfriend'))
test_6: self.assertEqual("hbdhpqrmpjylqmpyjlpmlyjrqpmqryjlpmqryjljygyjl", encrypt('dxzdlmnilfuhmilufhlihufnmlimnufhlimnufhfucufh'))
test_7: self.assertEqual("e", encrypt('a'))
test_8: self.assertEqual("efghi", encrypt('abcde'))
test_9: self.assertEqual("yzabcd", encrypt('uvwxyz'))
test_10: self.assertEqual("lipps asvph", encrypt('hello world'))
test_11: self.assertEqual("gteevevyzzdxi1e2f3gwxtevo1efgx23", encrypt('cpaararuvvzte1a2b3cstpark1abct23'))
test_12: self.assertEqual("", encrypt(''))
