test_0: self.assertEqual(1, sum_to_n(1))
test_1: self.assertEqual(21, sum_to_n(6))
test_2: self.assertEqual(66, sum_to_n(11))
test_3: self.assertEqual(465, sum_to_n(30))
test_4: self.assertEqual(5050, sum_to_n(100))
test_5: self.assertEqual(3, sum_to_n(2))
test_6: self.assertEqual(500000500000, sum_to_n(1000000))
test_7: self.assertEqual(499997500003, sum_to_n(999997))
test_8: self.assertEqual(500006500021, sum_to_n(1000006))
test_9: self.assertEqual(499999500000, sum_to_n(999999))
test_10: self.assertEqual(6, sum_to_n(3))
test_11: self.assertEqual(500004500010, sum_to_n(1000004))
test_12: self.assertEqual(500001500001, sum_to_n(1000001))
test_13: self.assertEqual(500003500006, sum_to_n(1000003))
test_14: self.assertEqual(499996500006, sum_to_n(999996))
test_15: self.assertEqual(500005500015, sum_to_n(1000005))
test_16: self.assertEqual(500002500003, sum_to_n(1000002))
test_17: self.assertEqual(499998500001, sum_to_n(999998))
