model,dataset,direction,error_type,pre,attempted,fixed,fix_rate
gemma4-e2b,avatar,Python→Java,compile,90,90,13,14.44
gemma4-e2b,avatar,Python→Java,runtime,51,51,10,19.61
gemma4-e2b,avatar,Python→Java,incorrect,33,33,2,6.06
gemma4-e2b,evalplus,Python→Java,compile,18,18,14,77.78
gemma4-e2b,evalplus,Python→Java,runtime,0,0,0,
gemma4-e2b,evalplus,Python→Java,incorrect,0,0,0,
qwen3.5-9b,codenet,Python→Java,compile,5,5,4,80.0
qwen3.5-9b,codenet,Python→Java,runtime,98,98,65,66.33
qwen3.5-9b,codenet,Python→Java,incorrect,0,0,0,
gemma4-e4b,evalplus,Python→Java,compile,14,14,11,78.57
gemma4-e4b,evalplus,Python→Java,runtime,0,0,0,
gemma4-e4b,evalplus,Python→Java,incorrect,0,0,0,
gemma4-e2b,codenet,Python→Java,compile,42,42,9,21.43
gemma4-e2b,codenet,Python→Java,runtime,27,27,3,11.11
gemma4-e2b,codenet,Python→Java,incorrect,12,12,3,25.0
llama3.1-8b,codenet,Java→Python,compile,5,5,0,0.0
llama3.1-8b,codenet,Java→Python,runtime,84,84,21,25.0
llama3.1-8b,codenet,Java→Python,incorrect,23,23,2,8.7
phi4-mini-3.8b,codenet,Python→Java,compile,199,199,0,0.0
phi4-mini-3.8b,codenet,Python→Java,runtime,1,1,0,0.0
phi4-mini-3.8b,codenet,Python→Java,incorrect,0,0,0,
gemma4-e4b,avatar,Python→Java,compile,70,70,20,28.57
gemma4-e4b,avatar,Python→Java,runtime,47,47,6,12.77
gemma4-e4b,avatar,Python→Java,incorrect,25,25,2,8.0
gemma4-e2b,codenet,Java→Python,compile,22,22,6,27.27
gemma4-e2b,codenet,Java→Python,runtime,4,4,2,50.0
gemma4-e2b,codenet,Java→Python,incorrect,97,97,32,32.99
llama3.1-8b,avatar,Java→Python,compile,0,0,0,
llama3.1-8b,avatar,Java→Python,runtime,116,116,23,19.83
llama3.1-8b,avatar,Java→Python,incorrect,41,41,6,14.63
gemma4-e4b,codenet,Java→Python,compile,18,18,4,22.22
gemma4-e4b,codenet,Java→Python,runtime,3,3,1,33.33
gemma4-e4b,codenet,Java→Python,incorrect,49,49,18,36.73
llama3.1-8b,avatar,Python→Java,compile,61,61,6,9.84
llama3.1-8b,avatar,Python→Java,runtime,37,37,3,8.11
llama3.1-8b,avatar,Python→Java,incorrect,66,66,9,13.64
phi4-mini-3.8b,avatar,Python→Java,compile,248,26,0,0.0
phi4-mini-3.8b,avatar,Python→Java,runtime,2,2,0,0.0
phi4-mini-3.8b,avatar,Python→Java,incorrect,0,0,0,
gemma4-e4b,codenet,Python→Java,compile,31,31,16,51.61
gemma4-e4b,codenet,Python→Java,runtime,23,23,4,17.39
gemma4-e4b,codenet,Python→Java,incorrect,1,1,0,0.0
gemma4-e4b,avatar,Java→Python,compile,31,31,15,48.39
gemma4-e4b,avatar,Java→Python,runtime,6,6,0,0.0
gemma4-e4b,avatar,Java→Python,incorrect,80,80,5,6.25
qwen3.5-9b,evalplus,Python→Java,compile,31,31,27,87.1
qwen3.5-9b,evalplus,Python→Java,runtime,0,0,0,
qwen3.5-9b,evalplus,Python→Java,incorrect,0,0,0,
qwen3.5-9b,avatar,Python→Java,compile,2,2,0,0.0
qwen3.5-9b,avatar,Python→Java,runtime,221,221,85,38.46
qwen3.5-9b,avatar,Python→Java,incorrect,6,6,1,16.67
phi4-mini-3.8b,codenet,Java→Python,compile,73,73,0,0.0
phi4-mini-3.8b,codenet,Java→Python,runtime,69,69,0,0.0
phi4-mini-3.8b,codenet,Java→Python,incorrect,21,21,0,0.0
qwen3.5-9b,avatar,Java→Python,compile,1,1,0,0.0
qwen3.5-9b,avatar,Java→Python,runtime,15,15,9,60.0
qwen3.5-9b,avatar,Java→Python,incorrect,184,184,97,52.72
llama3.1-8b,codenet,Python→Java,compile,26,26,8,30.77
llama3.1-8b,codenet,Python→Java,runtime,16,16,6,37.5
llama3.1-8b,codenet,Python→Java,incorrect,33,33,7,21.21
phi4-mini-3.8b,evalplus,Python→Java,compile,81,81,19,23.46
phi4-mini-3.8b,evalplus,Python→Java,runtime,0,0,0,
phi4-mini-3.8b,evalplus,Python→Java,incorrect,0,0,0,
llama3.1-8b,evalplus,Python→Java,compile,27,27,18,66.67
llama3.1-8b,evalplus,Python→Java,runtime,0,0,0,
llama3.1-8b,evalplus,Python→Java,incorrect,0,0,0,
qwen3.5-9b,codenet,Java→Python,compile,2,2,0,0.0
qwen3.5-9b,codenet,Java→Python,runtime,3,3,3,100.0
qwen3.5-9b,codenet,Java→Python,incorrect,180,180,132,73.33
gemma4-e2b,avatar,Java→Python,compile,29,29,4,13.79
gemma4-e2b,avatar,Java→Python,runtime,4,4,0,0.0
gemma4-e2b,avatar,Java→Python,incorrect,154,154,21,13.64
phi4-mini-3.8b,avatar,Java→Python,compile,248,248,0,0.0
phi4-mini-3.8b,avatar,Java→Python,runtime,0,0,0,
phi4-mini-3.8b,avatar,Java→Python,incorrect,1,1,0,0.0
