test_0: self.assertEqual(False, check_if_last_char_is_a_letter('apple'))
test_1: self.assertEqual(True, check_if_last_char_is_a_letter('apple pi e'))
test_2: self.assertEqual(False, check_if_last_char_is_a_letter('eeeee'))
test_3: self.assertEqual(True, check_if_last_char_is_a_letter('A'))
test_4: self.assertEqual(False, check_if_last_char_is_a_letter('Pumpkin pie '))
test_5: self.assertEqual(False, check_if_last_char_is_a_letter('Pumpkin pie 1'))
test_6: self.assertEqual(False, check_if_last_char_is_a_letter(''))
test_7: self.assertEqual(False, check_if_last_char_is_a_letter('eeeee e '))
test_8: self.assertEqual(False, check_if_last_char_is_a_letter('apple pie'))
test_9: self.assertEqual(False, check_if_last_char_is_a_letter('apple pi e '))
test_10: self.assertEqual(True, check_if_last_char_is_a_letter('Pumpkin pi e'))
test_11: self.assertEqual(False, check_if_last_char_is_a_letter('!'))
test_12: self.assertEqual(False, check_if_last_char_is_a_letter(''))
test_13: self.assertEqual(False, check_if_last_char_is_a_letter('pi'))
test_14: self.assertEqual(False, check_if_last_char_is_a_letter('aaaaa 1'))
test_15: self.assertEqual(False, check_if_last_char_is_a_letter('ap'))
test_16: self.assertEqual(True, check_if_last_char_is_a_letter('t'))
test_17: self.assertEqual(True, check_if_last_char_is_a_letter('aaaaaa A'))
test_18: self.assertEqual(False, check_if_last_char_is_a_letter('applApple $%appple pitie!^pieefavoritequickapple pifoox\ne'))
test_19: self.assertEqual(True, check_if_last_char_is_a_letter('pUMPcake?blueberrymufufinc!KPIEPulmpkin pi e'))
test_20: self.assertEqual(False, check_if_last_char_is_a_letter('k '))
