test_0: self.assertEqual(False, is_prime(6))
test_1: self.assertEqual(True, is_prime(101))
test_2: self.assertEqual(True, is_prime(11))
test_3: self.assertEqual(True, is_prime(13441))
test_4: self.assertEqual(True, is_prime(61))
test_5: self.assertEqual(False, is_prime(4))
test_6: self.assertEqual(False, is_prime(1))
test_7: self.assertEqual(True, is_prime(5))
test_8: self.assertEqual(True, is_prime(11))
test_9: self.assertEqual(True, is_prime(17))
test_10: self.assertEqual(False, is_prime(85))
test_11: self.assertEqual(False, is_prime(77))
test_12: self.assertEqual(False, is_prime(255379))
test_13: self.assertEqual(True, is_prime(31))
test_14: self.assertEqual(False, is_prime(1234567))
test_15: self.assertEqual(False, is_prime(-5))
test_16: self.assertEqual(False, is_prime(4))
test_17: self.assertEqual(True, is_prime(2))
test_18: self.assertEqual(False, is_prime(1))
test_19: self.assertEqual(False, is_prime(10000000029))
test_20: self.assertEqual(True, is_prime(9999991))
test_21: self.assertEqual(False, is_prime(-1))
test_22: self.assertEqual(True, is_prime(3))
test_23: self.assertEqual(False, is_prime(15))
test_24: self.assertEqual(False, is_prime(25))
test_25: self.assertEqual(False, is_prime(10))
test_26: self.assertEqual(True, is_prime(5))
test_27: self.assertEqual(False, is_prime(91))
