test_0: self.assertEqual("is", words_in_sentence('This is a test'))
test_1: self.assertEqual("go for", words_in_sentence('lets go for swimming'))
test_2: self.assertEqual("there is no place", words_in_sentence('there is no place available here'))
test_3: self.assertEqual("Hi am Hussein", words_in_sentence('Hi I am Hussein'))
test_4: self.assertEqual("go for it", words_in_sentence('go for it'))
test_5: self.assertEqual("", words_in_sentence('here'))
test_6: self.assertEqual("is", words_in_sentence('here is'))
test_7: self.assertEqual("am", words_in_sentence('I am a developer'))
test_8: self.assertEqual("programming is fun", words_in_sentence('Python programming is fun'))
test_9: self.assertEqual("am is efficienteveloper", words_in_sentence('I am a dquick sort algorithm is efficienteveloper'))
test_10: self.assertEqual("can bI fox jumps the the dog asy", words_in_sentence('mahthematics can bI athe qurown fox jumps over the lazy dogm a developethse q the lazy dog asy'))
test_11: self.assertEqual("abc defghijklmnopqrstuvwxyz", words_in_sentence('abcdefghijklmnopqrstuvwxyz abc defghijklmnopqrstuvwxyz'))
