test_0: self.assertEqual(True, simplify('1/5', '5/1'))
test_1: self.assertEqual(False, simplify('1/6', '2/1'))
test_2: self.assertEqual(True, simplify('5/1', '3/1'))
test_3: self.assertEqual(False, simplify('7/10', '10/2'))
test_4: self.assertEqual(True, simplify('2/10', '50/10'))
test_5: self.assertEqual(True, simplify('7/2', '4/2'))
test_6: self.assertEqual(True, simplify('11/6', '6/1'))
test_7: self.assertEqual(False, simplify('2/3', '5/2'))
test_8: self.assertEqual(False, simplify('5/2', '3/5'))
test_9: self.assertEqual(True, simplify('2/4', '8/4'))
test_10: self.assertEqual(True, simplify('2/4', '4/2'))
test_11: self.assertEqual(True, simplify('1/5', '5/1'))
test_12: self.assertEqual(False, simplify('1/5', '1/5'))
test_13: self.assertEqual(True, simplify('3/4', '4/3'))
test_14: self.assertEqual(True, simplify('8/3', '33/2'))
test_15: self.assertEqual(False, simplify('9999/010', '176/9'))
test_16: self.assertEqual(True, simplify('999999/1', '1/999999'))
test_17: self.assertEqual(False, simplify('12/9', '12/9'))
test_18: self.assertEqual(False, simplify('999999999/1', '1/1000000000'))
test_19: self.assertEqual(True, simplify('8/3', '468/6'))
test_20: self.assertEqual(False, simplify('5597/275775', '380/241'))
