test_0: self.assertEqual(1, add(0, 1))
test_1: self.assertEqual(1, add(1, 0))
test_2: self.assertEqual(5, add(2, 3))
test_3: self.assertEqual(12, add(5, 7))
test_4: self.assertEqual(12, add(7, 5))
test_5: self.assertEqual(1073, add(480, 593))
test_6: self.assertEqual(718, add(139, 579))
test_7: self.assertEqual(377, add(300, 77))
test_8: self.assertEqual(1325, add(569, 756))
test_9: self.assertEqual(1614, add(911, 703))
test_10: self.assertEqual(523, add(197, 326))
test_11: self.assertEqual(225, add(123, 102))
test_12: self.assertEqual(1376, add(671, 705))
test_13: self.assertEqual(822, add(101, 721))
test_14: self.assertEqual(1148, add(735, 413))
test_15: self.assertEqual(1292, add(923, 369))
test_16: self.assertEqual(1159, add(938, 221))
test_17: self.assertEqual(831, add(59, 772))
test_18: self.assertEqual(1330, add(540, 790))
test_19: self.assertEqual(250, add(244, 6))
test_20: self.assertEqual(853, add(705, 148))
test_21: self.assertEqual(1070, add(890, 180))
test_22: self.assertEqual(471, add(342, 129))
test_23: self.assertEqual(1505, add(946, 559))
test_24: self.assertEqual(1216, add(623, 593))
test_25: self.assertEqual(1119, add(825, 294))
test_26: self.assertEqual(856, add(124, 732))
test_27: self.assertEqual(1320, add(333, 987))
test_28: self.assertEqual(616, add(269, 347))
test_29: self.assertEqual(1648, add(826, 822))
test_30: self.assertEqual(636, add(157, 479))
test_31: self.assertEqual(718, add(534, 184))
test_32: self.assertEqual(967, add(418, 549))
test_33: self.assertEqual(1620, add(855, 765))
test_34: self.assertEqual(721, add(666, 55))
test_35: self.assertEqual(743, add(428, 315))
test_36: self.assertEqual(1349, add(704, 645))
test_37: self.assertEqual(455, add(183, 272))
test_38: self.assertEqual(1494, add(966, 528))
test_39: self.assertEqual(1268, add(571, 697))
test_40: self.assertEqual(1151, add(610, 541))
test_41: self.assertEqual(914, add(249, 665))
test_42: self.assertEqual(638, add(452, 186))
test_43: self.assertEqual(950, add(421, 529))
test_44: self.assertEqual(1236, add(860, 376))
test_45: self.assertEqual(773, add(172, 601))
test_46: self.assertEqual(207, add(30, 177))
test_47: self.assertEqual(788, add(35, 753))
test_48: self.assertEqual(1720, add(818, 902))
test_49: self.assertEqual(793, add(618, 175))
test_50: self.assertEqual(467, add(165, 302))
test_51: self.assertEqual(1241, add(405, 836))
test_52: self.assertEqual(1129, add(574, 555))
test_53: self.assertEqual(495, add(152, 343))
test_54: self.assertEqual(1107, add(882, 225))
test_55: self.assertEqual(1029, add(670, 359))
test_56: self.assertEqual(956, add(480, 476))
test_57: self.assertEqual(1087, add(265, 822))
test_58: self.assertEqual(1294, add(390, 904))
test_59: self.assertEqual(1073, add(570, 503))
test_60: self.assertEqual(678, add(660, 18))
test_61: self.assertEqual(776, add(457, 319))
test_62: self.assertEqual(742, add(724, 18))
test_63: self.assertEqual(704, add(469, 235))
test_64: self.assertEqual(413, add(91, 322))
test_65: self.assertEqual(880, add(91, 789))
test_66: self.assertEqual(1306, add(361, 945))
test_67: self.assertEqual(1224, add(272, 952))
test_68: self.assertEqual(1335, add(567, 768))
test_69: self.assertEqual(742, add(264, 478))
test_70: self.assertEqual(672, add(57, 615))
test_71: self.assertEqual(854, add(301, 553))
test_72: self.assertEqual(284, add(191, 93))
test_73: self.assertEqual(244, add(125, 119))
test_74: self.assertEqual(1464, add(528, 936))
test_75: self.assertEqual(321, add(314, 7))
test_76: self.assertEqual(690, add(270, 420))
test_77: self.assertEqual(460, add(25, 435))
test_78: self.assertEqual(1265, add(876, 389))
test_79: self.assertEqual(1155, add(502, 653))
test_80: self.assertEqual(1326, add(519, 807))
test_81: self.assertEqual(868, add(345, 523))
test_82: self.assertEqual(704, add(473, 231))
test_83: self.assertEqual(851, add(746, 105))
test_84: self.assertEqual(452, add(18, 434))
test_85: self.assertEqual(850, add(659, 191))
test_86: self.assertEqual(920, add(855, 65))
test_87: self.assertEqual(1715, add(843, 872))
test_88: self.assertEqual(1056, add(997, 59))
test_89: self.assertEqual(554, add(420, 134))
test_90: self.assertEqual(1035, add(950, 85))
test_91: self.assertEqual(273, add(223, 50))
test_92: self.assertEqual(717, add(473, 244))
test_93: self.assertEqual(1163, add(994, 169))
test_94: self.assertEqual(781, add(287, 494))
test_95: self.assertEqual(1358, add(528, 830))
test_96: self.assertEqual(1231, add(492, 739))
test_97: self.assertEqual(681, add(483, 198))
test_98: self.assertEqual(1091, add(228, 863))
test_99: self.assertEqual(750, add(345, 405))
test_100: self.assertEqual(964, add(878, 86))
test_101: self.assertEqual(1695, add(841, 854))
test_102: self.assertEqual(1084, add(950, 134))
test_103: self.assertEqual(1051, add(550, 501))
test_104: self.assertEqual(538, add(371, 167))
test_105: self.assertEqual(1, add(-2, 3))
test_106: self.assertEqual(-30, add(-15, -15))
test_107: self.assertEqual(-1, add(0, -1))
test_108: self.assertEqual(7, add(True, 6))
