test_0: self.assertEqual("", remove_vowels(''))
test_1: self.assertEqual("bcdf\nghjklm", remove_vowels('abcdef\nghijklm'))
test_2: self.assertEqual("fdcb", remove_vowels('fedcba'))
test_3: self.assertEqual("", remove_vowels('eeeee'))
test_4: self.assertEqual("cB", remove_vowels('acBAA'))
test_5: self.assertEqual("cB", remove_vowels('EcBOO'))
test_6: self.assertEqual("ybcd", remove_vowels('ybcd'))
test_7: self.assertEqual("hll", remove_vowels('hello'))
test_8: self.assertEqual("CX", remove_vowels('CX'))
test_9: self.assertEqual("Th qck brwn ybcd\n\n\n\nfghjklmnpqrstvwxyzHd.lHlfx jmps vr th lzyg.", remove_vowels('The quick brown AEEIayoubcd\n\n\n\nefghijklmnopqrstuvwxyzOUaeHdo.elHlofox jumps over the lazyog.'))
test_10: self.assertEqual("\n", remove_vowels('\n'))
test_11: self.assertEqual("", remove_vowels('a'))
