test_0: self.assertEqual(4, fib4(5))
test_1: self.assertEqual(28, fib4(8))
test_2: self.assertEqual(104, fib4(10))
test_3: self.assertEqual(386, fib4(12))
test_4: self.assertEqual(2, fib4(4))
test_5: self.assertEqual(0, fib4(1))
test_6: self.assertEqual(2, fib4(2))
test_7: self.assertEqual(0, fib4(3))
test_8: self.assertEqual(0, fib4(0))
test_9: self.assertEqual(8, fib4(6))
test_10: self.assertEqual(1015378, fib4(24))
test_11: self.assertEqual(149547043138259727015096384049610726618726804255794097638599078041110780764071741229530332670686964029765482703354480554521159825599963893124385760545082454600686514973757585648968777570336074773234360071278282617747789932964133310884195664597309999155447895565685043713734470810760608, fib4(1000))
test_12: self.assertEqual(71083647136, fib4(41))
