test_0: self.assertEqual(True, prime_length('Hello'))
test_1: self.assertEqual(True, prime_length('abcdcba'))
test_2: self.assertEqual(True, prime_length('kittens'))
test_3: self.assertEqual(False, prime_length('orange'))
test_4: self.assertEqual(True, prime_length('wow'))
test_5: self.assertEqual(True, prime_length('world'))
test_6: self.assertEqual(True, prime_length('MadaM'))
test_7: self.assertEqual(True, prime_length('Wow'))
test_8: self.assertEqual(False, prime_length(''))
test_9: self.assertEqual(True, prime_length('HI'))
test_10: self.assertEqual(True, prime_length('go'))
test_11: self.assertEqual(False, prime_length('gogo'))
test_12: self.assertEqual(False, prime_length('aaaaaaaaaaaaaaa'))
test_13: self.assertEqual(True, prime_length('Madam'))
test_14: self.assertEqual(False, prime_length('M'))
test_15: self.assertEqual(False, prime_length('0'))
test_16: self.assertEqual(True, prime_length('abcde'))
test_17: self.assertEqual(False, prime_length('abcd'))
test_18: self.assertEqual(True, prime_length('ab'))
test_19: self.assertEqual(True, prime_length('ThWThisthaaatxjmnzThe qulengantidMsYJFEtsgcehuqTkrPxBLWjpDfmvNaRlKOiVbnZIlishmentarilanismbrownover mfox judog.is'))
test_20: self.assertEqual(False, prime_length('a'))
test_21: self.assertEqual(False, prime_length(''))
test_22: self.assertEqual(False, prime_length('The qu ick brown fox jumpsb over the lahaszyThequickbrownfoxjumpsoverthelazydogThequtheickbrownfoxjumpssoverthelazydogog.'))
test_23: self.assertEqual(True, prime_length('lengtThiMsYJFEtsgcehuqTkrPdog.xBantidisestablishmentsarRlKOiVgbnZIoaethexBLThWxjmnzThe quickp brownjumpsThe quick brown fox jumps Wxjmnzover the lazy dog.KOiVbThe quick brown fox jumps Wxjmnzover the lazy dog.WxjmnzoveThisnZIoa.h'))
test_24: self.assertEqual(False, prime_length('pabc'))
test_25: self.assertEqual(True, prime_length('sis'))
test_26: self.assertEqual(False, prime_length('aaaa'))
