test_0: self.assertEqual("aSdF", solve('AsDf'))
test_1: self.assertEqual("4321", solve('1234'))
test_2: self.assertEqual("AB", solve('ab'))
test_3: self.assertEqual("#A@c", solve('#a@C'))
test_4: self.assertEqual("#aSDFw^45", solve('#AsdfW^45'))
test_5: self.assertEqual("2@6#", solve('#6@2'))
test_6: self.assertEqual("#$A^d", solve('#$a^D'))
test_7: self.assertEqual("#CCC", solve('#ccc'))
test_8: self.assertEqual("Th1S iS a T3St!", solve('tH1s Is A t3sT!'))
test_9: self.assertEqual("abcdefg", solve('ABCDEFG'))
test_10: self.assertEqual("!!!!4321!!!!", solve('!!!!1234!!!!'))
test_11: self.assertEqual("AÏÖFتحÏيلfاختبار تح버다음 네그이버버 블로그تحيوुपम الحالاتxÜBDEF", solve('aïöfتحïيلFاختبار تح버다음 네그이버버 블로그تحيوुपम الحالاتXübdef'))
test_12: self.assertEqual("😀😂اختبار😎", solve('😀😂اختبار😎'))
