test_0: self.assertEqual(1, largest_divisor(3))
test_1: self.assertEqual(1, largest_divisor(7))
test_2: self.assertEqual(5, largest_divisor(10))
test_3: self.assertEqual(50, largest_divisor(100))
test_4: self.assertEqual(7, largest_divisor(49))
test_5: self.assertEqual(9, largest_divisor(27))
test_6: self.assertEqual(1, largest_divisor(101))
test_7: self.assertEqual(250, largest_divisor(500))
test_8: self.assertEqual(94967, largest_divisor(1234571))
test_9: self.assertEqual(9721, largest_divisor(1234567))
test_10: self.assertEqual(617285, largest_divisor(1234570))
test_11: self.assertEqual(246913, largest_divisor(1234565))
test_12: self.assertEqual(7, largest_divisor(35))
test_13: self.assertEqual(617283, largest_divisor(1234566))
test_14: self.assertEqual(411523, largest_divisor(1234569))
test_15: self.assertEqual(617286, largest_divisor(1234572))
test_16: self.assertEqual(1, largest_divisor(2))
